rank,player,rating,gold,silver,bronze,rated_games,total_games,finished,eliminated,resigned,joined,date_scraped,time_scraped
1,Dane69,1904,12,11,6,37,43,95%,5%,-,10 Aug 2015,25 Sep 2017,16:18
2,ekan,1821,10,7,3,15,22,95%,5%,-,17 May 2016,25 Sep 2017,16:18
3,Heezer1,1810,10,5,2,19,25,100%,-,-,01 Nov 2015,25 Sep 2017,16:18
4,NannyFeathers,1770,9,5,3,23,27,100%,-,-,28 Nov 2015,25 Sep 2017,16:18
5,Kjking,1768,7,8,2,14,20,100%,-,-,01 Apr 2016,25 Sep 2017,16:18
6,kspace,1745,20,11,1,29,44,98%,2%,-,17 Oct 2015,25 Sep 2017,16:18
7,Erokk,1742,15,13,8,66,73,89%,1%,10%,04 Nov 2015,25 Sep 2017,16:18
8,Goatplus,1741,35,20,8,48,83,94%,5%,1%,26 Oct 2015,25 Sep 2017,16:18
9,STAD,1737,16,4,-,12,21,95%,5%,-,10 Apr 2016,25 Sep 2017,16:18
10,Thunder,1736,17,12,5,46,63,78%,21%,2%,23 Oct 2015,25 Sep 2017,16:18
11,AdmiralAdama,1733,32,18,9,80,102,84%,12%,4%,21 Mar 2015,25 Sep 2017,16:18
12,mm1menace,1732,17,13,5,27,61,84%,11%,5%,31 Jan 2016,25 Sep 2017,16:18
13,SirRobin,1725,19,13,10,24,56,93%,5%,2%,06 Mar 2016,25 Sep 2017,16:18
14,Mccormdr,1710,20,34,12,92,103,89%,7%,4%,15 Apr 2016,25 Sep 2017,16:18
15,T0mmyb0y7,1702,10,8,6,29,39,92%,3%,5%,29 Oct 2015,25 Sep 2017,16:18
16,Spolage,1689,6,6,4,24,31,100%,-,-,29 Nov 2016,25 Sep 2017,16:18
17,PanzerKosstra,1686,27,20,14,103,125,81%,3%,16%,30 Oct 2015,25 Sep 2017,16:18
18,Dinelli,1686,13,4,1,29,31,97%,3%,-,25 Dec 2015,25 Sep 2017,16:18
19,GeneralOdell,1685,9,6,10,28,32,100%,-,-,25 Dec 2015,25 Sep 2017,16:18
20,Roozbeh,1684,19,3,3,18,45,82%,11%,7%,15 Jan 2016,25 Sep 2017,16:18
21,Mackbluey,1683,5,4,1,14,15,100%,-,-,14 Apr 2017,25 Sep 2017,16:18
22,RedQueenn,1680,17,10,2,24,44,95%,5%,-,18 Oct 2015,25 Sep 2017,16:18
23,Samson,1676,31,6,4,47,62,92%,6%,2%,25 Oct 2015,25 Sep 2017,16:18
24,ayrm,1669,20,16,9,87,94,72%,17%,11%,24 Oct 2015,25 Sep 2017,16:18
25,PudgyNinja,1661,9,-,1,11,12,100%,-,-,21 Oct 2015,25 Sep 2017,16:18
26,GreatGia,1655,13,9,7,26,36,100%,-,-,15 Oct 2015,25 Sep 2017,16:18
27,Darkhorse,1654,13,4,3,21,29,93%,3%,3%,14 Nov 2015,25 Sep 2017,16:18
28,oz0n3,1653,9,3,4,19,25,92%,8%,-,16 Oct 2015,25 Sep 2017,16:18
29,Sydogg,1652,9,8,6,34,40,83%,10%,8%,26 Oct 2015,25 Sep 2017,16:18
30,_Blackout_,1652,8,4,-,24,25,96%,4%,-,01 Jul 2016,25 Sep 2017,16:18
31,Rappo,1652,6,2,1,10,10,100%,-,-,04 May 2017,25 Sep 2017,16:18
32,McCoolxxx,1647,13,8,7,45,60,82%,7%,12%,19 Feb 2016,25 Sep 2017,16:18
33,SexxxyBastard69,1646,6,3,2,10,13,100%,-,-,07 Apr 2016,25 Sep 2017,16:18
34,Hazelsmasher,1642,11,4,-,18,22,86%,14%,-,24 Oct 2015,25 Sep 2017,16:18
35,Captain_Simian,1641,14,5,5,32,38,92%,5%,3%,25 Oct 2015,25 Sep 2017,16:18
36,Jimidy,1640,5,2,5,12,14,100%,-,-,27 Oct 2015,25 Sep 2017,16:18
